ID_Cliente,Nombre,Apellido,Edad,genero,pais,ingresos_anuales,fecha_registro
65,Edelmiro,Carrasco,77,Hombre,España,51325,2021-09-30
66,Ágata,Gomez,31,Mujer,España,57949,2025-08-15
67,Reyes,Frutos,67,Hombre,España,52821,2023-11-10
68,Cayetano,Farré,75,Mujer,España,36076,2021-12-24
69,Carmina,Larrea,26,Mujer,España,52032,2025-08-27
70,Lázaro,Maestre,43,Mujer,España,38001,2024-01-18
71,Paula,Urrutia,70,Mujer,España,45303,2022-09-16
72,Eusebia,Piña,19,Mujer,España,46457,2023-07-18
73,Esperanza,Castillo,37,Mujer,España,71443,2022-07-25
74,Sonia,Rosado,45,Mujer,España,42303,2021-03-26
75,Rosalva,Gabaldón,64,Hombre,España,45128,2023-12-20
76,Porfirio,Garriga,77,Hombre,España,48280,2024-10-10
77,Crescencia,Luna,24,Mujer,España,69427,2020-11-17
78,Gregorio,Fajardo,61,Mujer,España,61644,2022-05-03
79,Julie,Ripoll,78,Hombre,España,68014,2023-12-11
80,Buenaventura,Escribano,25,Hombre,España,36967,2023-10-15
81,Artemio,Real,64,Mujer,España,36661,2021-10-01
82,Gisela,Coello,52,Hombre,España,42416,2022-03-09
83,Javier,Andrade,31,Hombre,España,30510,2025-04-24
84,María Teresa,Manrique,34,Mujer,España,71382,2022-03-08
85,Luis Miguel,Juárez,53,Mujer,España,65200,2024-09-30
86,Cebrián,Gutiérrez,67,Mujer,España,31906,2024-04-30
87,Rita,Sanmartín,57,Hombre,España,55534,2022-07-27
88,Joan,Hurtado,21,Mujer,España,78322,2024-06-10
89,Roxana,Pelayo,19,Mujer,España,46448,2023-05-13
90,Cosme,Sedano,79,Hombre,España,67696,2022-10-23
91,Ricardo,Boada,23,Mujer,España,34710,2021-06-24
92,Leopoldo,Alarcón,71,Hombre,España,74308,2023-06-26
93,Wilfredo,Somoza,59,Hombre,España,68892,2023-04-12
94,Fabiola,Cañas,21,Hombre,España,70605,2025-04-10
95,Perlita,Morales,71,Hombre,España,45583,2025-07-28
96,Pánfilo,Puga,46,Hombre,España,47184,2025-08-29
97,Fermín,Garay,35,Hombre,España,54853,2023-09-01
98,Raimundo,Pla,43,Mujer,España,36109,2024-02-28
99,Pedro,Rocha,61,Mujer,España,72677,2023-10-12
100,Hugo,Jaén,51,Mujer,España,36659,2023-03-18
101,Herminia,Beltran,27,Hombre,España,31238,2024-05-02
102,Juanito,Bustos,79,Mujer,España,45064,2024-07-05
103,Judith,Barral,53,Hombre,España,61115,2022-12-03
104,Isabela,Azorin,31,Mujer,España,61952,2023-05-09
105,Flora,Méndez,48,Hombre,España,35620,2023-08-16
106,Calixto,Guitart,65,Mujer,España,64254,2023-01-15
107,Emelina,Sotelo,32,Hombre,España,67449,2023-04-19
108,Fabiola,Pablo,25,Mujer,España,74258,2022-09-11
109,Francisco Javier,Arroyo,31,Hombre,España,34470,2023-06-06
110,Bibiana,Adadia,40,Mujer,España,52003,2023-01-01
111,Luisina,Izaguirre,77,Hombre,España,57571,2021-06-07
112,Jose Ignacio,Vargas,74,Mujer,España,54668,2023-05-30
113,Fernando,Piquer,79,Mujer,España,41723,2021-11-04
114,Óscar,Mate,57,Mujer,España,76656,2024-03-05
115,Reynaldo,Prat,38,Hombre,España,61040,2025-08-28
116,Julián,Peláez,33,Hombre,España,69945,2022-11-22
117,Ángela,Catalán,62,Hombre,España,75969,2022-11-16
118,Felicidad,Armengol,35,Hombre,España,62046,2023-01-05
119,Javiera,Escobar,64,Hombre,España,35441,2023-02-27
120,Cecilia,Juliá,70,Mujer,España,41719,2025-09-24
121,Isidoro,Doménech,41,Hombre,España,35397,2024-08-24
122,Isidora,Vara,43,Mujer,España,64389,2023-03-28
123,Moreno,Ureña,42,Mujer,España,47945,2022-09-27
124,Pía,Nicolau,77,Hombre,España,52233,2025-09-14
125,María Jesús,Solé,77,Mujer,España,47800,2023-02-08
126,Maura,Catalán,77,Hombre,España,34190,2024-04-19
127,Basilio,Borrás,62,Hombre,España,67822,2023-01-21
128,Jenaro,Molins,58,Hombre,España,31130,2020-12-16
129,Paca,Roselló,46,Mujer,España,44071,2025-04-14
130,Amílcar,Cifuentes,32,Hombre,España,49981,2025-08-03
131,Noa,Juliá,62,Hombre,España,74704,2022-04-09
132,Maximiano,Caro,18,Hombre,España,32118,2022-01-20
133,Salvador,Millán,42,Mujer,España,30663,2022-09-21
134,Julio,Arregui,24,Hombre,España,45735,2021-03-21
135,Blas,Castell,26,Mujer,España,49158,2023-08-09
136,Héctor,Valera,41,Mujer,España,61087,2025-01-26
137,Xiomara,Lucas,18,Hombre,España,52578,2024-05-21
138,Claudia,Palomo,61,Mujer,España,49874,2021-11-26
139,Sarita,Ropero,25,Mujer,España,72531,2024-11-14
140,Lina,Luna,41,Hombre,España,47907,2022-09-02
141,Maxi,Lago,28,Hombre,España,70821,2025-09-16
142,Ibán,Laguna,68,Hombre,España,52787,2025-05-07
143,Gabriela,Villanueva,34,Mujer,España,51705,2025-04-03
144,Angelina,Millán,25,Hombre,España,33845,2025-10-08
145,Ruy,Ruano,52,Mujer,España,76264,2023-02-08
146,Soledad,Cózar,52,Mujer,España,69069,2021-08-29
147,Yaiza,Moles,50,Mujer,España,74653,2022-12-07
148,Fernanda,Tur,76,Mujer,España,46482,2022-02-25
149,Álvaro,Corbacho,22,Mujer,España,65056,2021-09-10
150,Eric,Sacristán,59,Hombre,España,56090,2020-11-17
151,Juan Manuel,Baena,56,Hombre,España,50681,2025-09-02
152,Emilio,Fabregat,75,Mujer,España,62252,2024-08-08
153,Jose Manuel,Comas,58,Mujer,España,37796,2021-11-29
154,Marcela,Ballester,45,Hombre,España,37263,2021-05-02
155,Chelo,Gras,24,Hombre,España,42777,2022-04-15
156,Bárbara,Español,26,Mujer,España,71538,2021-10-16
157,Juan José,Araujo,25,Mujer,España,50343,2024-11-19
158,Margarita,Sosa,29,Hombre,España,70153,2021-03-07
159,Daniela,Juan,51,Hombre,España,44862,2024-11-19
160,Tiburcio,Cárdenas,50,Mujer,España,71232,2023-08-05
161,Tomasa,Solera,65,Hombre,España,67649,2023-05-18
162,Dalila,Rubio,72,Hombre,España,78786,2025-03-23
163,Sabas,Carmona,40,Mujer,España,45691,2023-10-09
164,Porfirio,Uría,79,Mujer,España,55028,2022-06-14
165,Isidoro,Armas,41,Mujer,España,72135,2023-04-03
166,Emiliano,Sala,54,Hombre,España,61066,2024-04-28
167,Araceli,Palacios,52,Mujer,España,63181,2023-12-19
168,Ana,Toro,61,Hombre,España,47934,2023-09-05
169,Ciriaco,Seco,57,Mujer,España,50910,2024-10-31
170,Marisol,Ureña,39,Mujer,España,77482,2025-10-17
171,Asdrubal,Capdevila,44,Hombre,España,37141,2021-12-07
172,Rosalinda,Colomer,52,Hombre,España,75950,2021-11-18
173,Damián,Casals,18,Mujer,España,46225,2021-02-16
174,Ezequiel,Olmedo,52,Mujer,España,64714,2022-11-22
175,Eulalia,Bueno,54,Hombre,España,51587,2020-11-24
176,Feliciano,Frías,64,Mujer,España,62959,2021-03-06
177,Mónica,Luz,31,Hombre,España,79192,2023-05-19
178,Irma,Escribano,20,Hombre,España,44175,2023-03-07
179,Telmo,Diéguez,18,Mujer,España,40051,2025-08-19
180,Débora,Verdugo,22,Hombre,España,35892,2024-06-29
181,Bernardo,Llamas,43,Hombre,España,33449,2023-05-27
182,Rogelio,Garay,72,Hombre,España,71095,2024-01-22
183,Rico,Acosta,31,Mujer,España,68677,2021-05-11
184,Débora,Zorrilla,56,Hombre,España,42393,2022-01-28
185,Adelina,Escribano,44,Mujer,España,59190,2022-09-18
186,Benigna,Rico,26,Mujer,España,64709,2025-08-19
187,José,Benítez,32,Mujer,España,61533,2021-04-11
188,Carolina,Hoz,32,Hombre,España,56141,2021-01-17
189,Rosalinda,Valentín,43,Hombre,España,66989,2022-01-06
190,Aitor,Busquets,59,Mujer,España,53908,2023-11-03
191,Irma,Mulet,77,Mujer,España,69311,2021-09-20
192,Lorena,Amo,30,Hombre,España,62322,2021-12-21
193,Darío,Luís,68,Mujer,España,44012,2021-10-15
194,Isabel,Carro,49,Mujer,España,64889,2022-07-19
195,Sonia,Prado,56,Hombre,España,47412,2024-09-26
196,Brunilda,Pereira,66,Mujer,España,60614,2023-08-25
197,Maricela,Camino,69,Hombre,España,74494,2024-02-28
198,Juanito,Morales,78,Hombre,España,54657,2023-11-04
199,María José,Corral,49,Mujer,España,35656,2025-04-23
200,Felipa,Andres,21,Hombre,España,38967,2024-02-22
201,Noé,Bertrán,47,Hombre,España,49422,2022-06-07
202,Dani,Seguí,54,Hombre,España,45764,2023-08-17
203,Lázaro,Tena,40,Mujer,España,45873,2025-10-07
204,Trinidad,Santiago,56,Mujer,España,58949,2023-09-07
205,Fausto,Leon,62,Mujer,España,73847,2024-10-27
206,Wilfredo,Adán,32,Hombre,España,32271,2020-10-31
207,Abraham,Mur,60,Hombre,España,31607,2025-07-15
208,Lorenza,Arranz,46,Mujer,España,49523,2024-06-21
209,Sara,Santamaría,53,Mujer,España,78447,2021-06-26
210,Loida,Morcillo,30,Hombre,España,79757,2025-09-10
211,Juan José,Castelló,49,Mujer,España,57990,2022-09-02
212,Angelita,Galván,24,Mujer,España,33665,2021-05-25
213,María Belén,Atienza,76,Mujer,España,46308,2023-01-13
214,Gaspar,Luna,68,Mujer,España,35852,2023-11-18
215,Anunciación,Moraleda,39,Mujer,España,35462,2025-07-06
216,Ximena,Baquero,45,Hombre,España,61795,2023-05-08
217,Curro,Bejarano,19,Mujer,España,34270,2022-06-03
218,Sabina,Pizarro,59,Mujer,España,78465,2023-01-07
219,Eufemia,Bru,62,Hombre,España,54491,2023-08-06
220,Marc,Pujadas,79,Hombre,España,66230,2024-03-09
221,Prudencia,Jara,74,Hombre,España,78242,2024-02-11
222,Feliciana,Enríquez,70,Hombre,España,30347,2022-09-11
223,Anunciación,Heredia,23,Mujer,España,79152,2021-07-13
224,Emelina,Pujadas,45,Mujer,España,62830,2021-06-06
225,Heliodoro,Borrell,45,Mujer,España,31783,2022-09-16
226,Ezequiel,Almansa,61,Mujer,España,58390,2025-06-04
227,Raúl,Galindo,61,Hombre,España,38417,2025-07-01
228,María Belén,Cánovas,37,Hombre,España,36566,2023-12-20
229,Felix,Pont,47,Mujer,España,47426,2021-03-22
230,Calista,Quevedo,79,Mujer,España,60750,2022-07-21
231,Melania,López,28,Mujer,España,40872,2023-05-03
232,Ágata,Correa,75,Mujer,España,58695,2022-05-17
233,Bernarda,Carreño,72,Hombre,España,78086,2022-06-07
234,Zaida,Martín,45,Mujer,España,31234,2024-04-11
235,Aarón,Tudela,42,Hombre,España,64752,2022-02-25
236,Elena,Rosell,56,Hombre,España,58832,2021-12-19
237,Moisés,Menéndez,79,Hombre,España,47978,2021-02-05
238,Amaya,Castro,50,Hombre,España,52641,2022-12-05
239,Alejo,Palomar,18,Mujer,España,57127,2022-06-21
240,Dani,Báez,74,Mujer,España,64720,2023-06-14
241,Úrsula,Pedrero,44,Mujer,España,48079,2024-09-14
242,Primitivo,Vila,79,Mujer,España,47338,2023-04-21
243,Selena,Folch,74,Hombre,España,33291,2022-05-15
244,Paz,Tovar,69,Hombre,España,38548,2023-01-25
245,Noemí,Salinas,30,Hombre,España,77272,2024-04-09
246,Marino,Pons,58,Mujer,España,74555,2022-07-31
247,Jose,Tamayo,20,Hombre,España,63736,2021-09-23
248,Bautista,Ledesma,56,Hombre,España,79393,2020-12-21
249,Jose Angel,Rocha,23,Hombre,España,58022,2023-05-17
250,Selena,Bosch,25,Hombre,España,34234,2022-10-14
251,Claudia,Rocamora,44,Mujer,España,56720,2024-08-24
252,Cayetano,Pedrosa,26,Hombre,España,71106,2025-09-28
253,Che,Estrada,79,Hombre,España,70117,2024-05-07
254,Lupita,Rovira,54,Mujer,España,43368,2025-02-07
255,Amalia,Rojas,50,Mujer,España,77969,2024-03-08
256,Olalla,Buendía,68,Mujer,España,78838,2025-05-29
257,Bruno,Arjona,59,Hombre,España,38734,2021-01-19
258,Martirio,Vilanova,61,Hombre,España,71651,2021-02-02
259,Berta,Noguera,41,Hombre,España,63793,2025-07-05
260,María Dolores,Silva,32,Hombre,España,42197,2023-06-25
261,Edgardo,Gomez,76,Mujer,España,33359,2022-01-04
262,Eduardo,Cortina,71,Hombre,España,68025,2025-08-27
263,Georgina,Valbuena,49,Hombre,España,65719,2023-03-14
264,Aitana,Águila,49,Mujer,España,37389,2024-01-22
265,Carmela,Zamorano,41,Mujer,España,77434,2025-10-07
266,Fito,Blanes,58,Mujer,España,44952,2021-03-28
267,Juan Manuel,Manso,69,Hombre,España,59075,2022-02-11
268,Belén,Solé,66,Hombre,España,48939,2021-07-29
269,Salud,Ruiz,79,Hombre,España,76995,2024-12-15
270,Elvira,Bernad,66,Hombre,España,45624,2024-07-16
271,Teo,Tejedor,75,Hombre,España,31735,2023-03-31
272,Héctor,Mas,69,Mujer,España,54315,2021-05-12
273,Úrsula,Comas,29,Mujer,España,47422,2024-10-10
274,Calista,Castell,79,Hombre,España,69137,2023-01-20
275,Marisol,Mas,56,Hombre,España,37127,2022-06-01
276,Luna,Ibarra,19,Hombre,España,65680,2021-02-17
277,Jenny,Zabala,20,Hombre,España,78232,2023-05-20
278,Herberto,Roma,66,Hombre,España,42606,2022-07-31
279,Leyre,Marqués,54,Mujer,España,62743,2023-07-10
280,Mateo,Asenjo,66,Mujer,España,64010,2021-04-23
281,Sabas,Benito,73,Mujer,España,45636,2022-02-18
282,Hilda,Arrieta,34,Hombre,España,55348,2022-10-03
283,Florentina,Vilanova,76,Hombre,España,40108,2025-05-18
284,Raúl,Campos,66,Mujer,España,38098,2023-12-07
285,Urbano,Vicens,19,Mujer,España,66180,2021-03-18
286,Trinidad,Rodríguez,19,Hombre,España,48883,2022-03-15
287,Asunción,Rey,45,Mujer,España,74400,2022-03-11
288,Vito,Busquets,71,Mujer,España,75999,2025-07-27
289,Dionisio,Sobrino,40,Hombre,España,77951,2023-03-13
290,Jose Miguel,Isern,54,Mujer,España,37160,2024-05-27
291,Jafet,Padilla,49,Mujer,España,49929,2024-02-20
292,Bernardo,Iñiguez,50,Mujer,España,47597,2023-09-10
293,Nilo,Bilbao,18,Hombre,España,41123,2022-05-09
294,Alfonso,Vara,36,Mujer,España,79570,2024-08-17
295,Dionisia,Alegre,79,Mujer,España,58357,2023-09-05
296,Casandra,Carbonell,19,Mujer,España,34960,2022-03-03
297,Jeremías,Sevillano,70,Hombre,España,63556,2022-07-04
298,Dionisia,Escobar,61,Hombre,España,48255,2022-07-10
299,Isidro,Esparza,43,Mujer,España,43350,2021-12-12
300,Adrián,Pozo,49,Hombre,España,60881,2025-03-28
301,Calisto,Arrieta,23,Mujer,España,48409,2022-02-12
302,Laura,Blanco,49,Hombre,España,62635,2022-10-20
303,Evangelina,Rico,72,Hombre,España,32446,2020-11-21
304,Benigno,Martorell,21,Mujer,España,60657,2021-12-21
305,Jenaro,Mir,72,Mujer,España,51207,2020-12-13
306,Borja,Sanz,28,Mujer,España,78951,2021-12-15
307,Vicenta,Sandoval,73,Hombre,España,38752,2023-08-15
308,Amílcar,Landa,76,Mujer,España,43440,2024-03-23
309,Rosalina,Noguera,34,Hombre,España,74864,2025-09-10
310,Natalio,Exposito,55,Hombre,España,79691,2021-09-23
311,Calisto,Galván,41,Mujer,España,36499,2022-08-24
312,Aroa,Esteve,22,Hombre,España,51139,2022-07-21
313,Jordán,Bermudez,69,Mujer,España,44767,2020-11-23
314,León,Jover,51,Hombre,España,52343,2022-10-07
315,Haydée,Camino,23,Mujer,España,57712,2020-12-31
316,Amalia,Roura,39,Hombre,España,49673,2022-09-05
317,Iker,Alemán,28,Hombre,España,59488,2022-06-28
318,Calista,Adán,65,Mujer,España,56520,2022-12-21
319,Eligio,Prat,33,Hombre,España,74105,2024-04-14
320,Loreto,Carnero,50,Mujer,España,78587,2024-10-18
321,Sofía,Alcalde,26,Hombre,España,45784,2024-07-25
322,Concepción,Duarte,77,Hombre,España,68079,2021-05-22
323,Corona,Tejada,76,Hombre,España,74220,2021-11-09
324,Ainara,Seguí,23,Mujer,España,50491,2024-06-14
325,Jose Carlos,Quirós,33,Mujer,España,77342,2024-09-10
326,Milagros,Torrecilla,46,Mujer,España,78720,2023-12-02
327,Ainara,Mateo,20,Mujer,España,65268,2020-11-26
328,Noemí,Palomo,37,Mujer,España,44718,2024-07-14
329,Santos,Prat,77,Hombre,España,65597,2024-06-11
330,Goyo,Mate,76,Hombre,España,62815,2022-01-08
331,Ciríaco,Bonilla,53,Mujer,España,65132,2024-11-18
332,Cleto,Casares,36,Hombre,España,56832,2023-10-08
333,Genoveva,Cepeda,43,Hombre,España,61862,2023-06-30
334,Tomás,Alcalá,20,Hombre,España,42864,2022-12-06
335,Paulino,Farré,36,Hombre,España,52842,2021-04-18
336,Teo,Caparrós,37,Mujer,España,38177,2022-04-16
337,Segismundo,Alcázar,49,Hombre,España,76115,2023-03-06
338,Adelia,Fabra,24,Mujer,España,70699,2023-12-18
339,Rosario,Amor,69,Mujer,España,75609,2022-08-09
340,Luisina,Gallart,58,Hombre,España,41844,2021-04-16
341,Baltasar,Teruel,50,Mujer,España,38594,2021-06-24
342,Ignacia,Codina,57,Hombre,España,43418,2022-04-14
343,Francisca,Herranz,56,Hombre,España,64854,2022-10-11
344,Flavia,Ruano,35,Hombre,España,53108,2025-10-05
345,Clímaco,Farré,57,Mujer,España,40419,2025-07-17
346,Benjamín,Boix,18,Mujer,España,52539,2023-01-04
347,Samuel,Mascaró,28,Mujer,España,74370,2024-12-17
348,Luisa,Silva,45,Hombre,España,73950,2022-04-07
349,Norberto,Colomer,74,Hombre,España,42835,2022-10-24
350,Nereida,Sáez,42,Hombre,España,47533,2021-01-22
351,Rosalva,Roca,67,Mujer,España,79214,2022-08-28
352,César,Almeida,40,Hombre,España,59515,2023-02-12
353,Jose Ramón,Carnero,48,Hombre,España,65921,2021-12-07
354,Gregorio,Delgado,47,Mujer,España,71968,2021-03-17
355,Goyo,Corominas,59,Mujer,España,52322,2021-11-22
356,Brunilda,Salgado,52,Mujer,España,40223,2025-05-29
357,Vidal,Toro,24,Hombre,España,40273,2023-05-01
358,Enrique,Soto,77,Hombre,España,63519,2024-09-17
359,Telmo,Aller,33,Hombre,España,54160,2021-05-23
360,Gervasio,Sancho,43,Mujer,España,38849,2025-10-04
361,León,Herrera,65,Mujer,España,79852,2020-12-13
362,Óscar,Fortuny,74,Mujer,España,55656,2021-08-02
363,Josep,Mariño,69,Mujer,España,78988,2024-09-04
364,Sandra,Pou,77,Hombre,España,40348,2022-03-14
365,Águeda,Azcona,66,Hombre,España,47924,2022-03-15
366,Carlos,Múgica,19,Hombre,España,68935,2021-12-09
367,Venceslás,Aguiló,18,Hombre,España,69132,2023-04-21
368,Nuria,Calderon,65,Hombre,España,31983,2021-04-03
369,Rosalva,Rosales,79,Hombre,España,54890,2023-12-27
370,Roberta,Ricart,29,Hombre,España,44629,2021-04-23
371,Carmelita,Valcárcel,22,Hombre,España,79056,2024-07-20
372,Clímaco,Manso,54,Mujer,España,41273,2024-04-30
373,Aureliano,Arco,49,Mujer,España,61739,2023-01-06
374,Florinda,Torrent,76,Hombre,España,70416,2025-06-17
375,Calixta,Pulido,72,Mujer,España,37894,2024-09-30
376,Piedad,Torre,26,Hombre,España,76073,2021-09-04
377,Albino,Vilanova,58,Hombre,España,75693,2024-11-11
378,Ciro,Torrents,52,Mujer,España,54343,2025-01-09
379,Ángeles,Guardiola,36,Hombre,España,73095,2023-07-18
380,Marisa,Barrera,65,Hombre,España,61174,2023-01-11
381,Reina,Álvarez,33,Hombre,España,74179,2024-05-02
382,Jordi,Alfonso,20,Hombre,España,36900,2021-09-17
383,Flavio,Roca,37,Hombre,España,78905,2022-05-15
384,Santos,Moles,41,Hombre,España,33800,2023-01-21
385,Amalia,Bartolomé,71,Hombre,España,65246,2021-03-28
386,Alicia,Leal,73,Mujer,España,72735,2024-02-06
387,Ignacio,Rincón,50,Mujer,España,72926,2023-11-15
388,Rosaura,Sáenz,41,Hombre,España,37054,2025-06-02
389,Salvador,Caro,69,Mujer,España,68827,2022-09-30
390,Vanesa,Uría,28,Hombre,España,72727,2025-05-18
391,Benigno,Oliver,66,Hombre,España,74775,2024-07-24
392,Fidel,Sanabria,25,Hombre,España,71201,2022-02-14
393,Reynaldo,Rubio,53,Hombre,España,59373,2024-10-20
394,Abilio,Almansa,55,Mujer,España,57525,2022-01-27
395,Rosario,Cuéllar,57,Mujer,España,68977,2023-09-13
396,Juan Manuel,Maestre,37,Mujer,España,37115,2025-02-11
397,Ángeles,Fernandez,79,Mujer,España,61107,2021-05-11
398,Miguela,Soria,52,Hombre,España,60486,2022-05-05
399,Milagros,Núñez,65,Mujer,España,43068,2022-02-19
400,Wálter,Ríos,79,Hombre,España,48640,2023-07-04
401,Lucho,Guerra,42,Hombre,España,62158,2021-02-25
402,Teo,Vera,52,Mujer,España,66136,2025-10-15
403,Josefina,Gimenez,42,Hombre,España,46128,2023-09-25
404,Lupe,Nicolau,46,Mujer,España,54942,2024-02-03
405,Miguela,Solís,35,Mujer,España,32827,2024-03-01
406,Cayetana,Castro,63,Mujer,España,45990,2025-05-09
407,Gisela,Marcos,35,Mujer,España,65255,2023-03-18
408,Lina,Portero,19,Mujer,España,49987,2022-12-24
409,Amanda,Riera,71,Hombre,España,76115,2025-02-15
410,Fabián,Palomino,52,Mujer,España,50901,2022-01-25
411,Goyo,Sureda,33,Mujer,España,46277,2022-12-01
412,Manu,Cáceres,78,Hombre,España,31643,2024-12-10
413,Isaac,Galan,58,Mujer,España,53729,2022-12-06
414,Bautista,Lumbreras,53,Mujer,España,51087,2022-05-29
415,Cruz,Boix,50,Hombre,España,51818,2024-08-26
416,Magdalena,Tolosa,21,Hombre,España,30019,2025-09-09
417,Candela,Castelló,50,Mujer,España,63443,2021-06-18
418,Benjamín,Duran,31,Hombre,España,79760,2022-05-25
419,Mariana,Flores,38,Mujer,España,79213,2021-08-29
420,Mauricio,Crespi,65,Hombre,España,39457,2021-12-01
421,Baudelio,Téllez,37,Mujer,España,63922,2021-07-13
422,Aureliano,Cabrero,73,Mujer,España,39820,2021-07-18
423,Daniela,Ricart,25,Mujer,España,62750,2021-03-19
424,Albina,Uribe,24,Hombre,España,72586,2021-10-29
425,Ani,Mateos,20,Mujer,España,66484,2025-04-30
426,Zaira,Guitart,34,Hombre,España,68010,2024-09-15
427,Reyna,Gallart,50,Mujer,España,67790,2025-03-07
428,Bernarda,Arévalo,65,Mujer,España,52869,2021-03-03
429,Fausto,Alfaro,29,Mujer,España,64421,2022-10-26
430,Baudelio,Palmer,76,Mujer,España,32502,2023-10-06
431,Apolonia,Julián,68,Mujer,España,46665,2025-07-07
432,Cecilio,Palau,39,Hombre,España,55600,2024-05-08
433,Renata,Cuadrado,72,Hombre,España,59394,2021-03-28
434,Gilberto,Díaz,39,Hombre,España,44086,2021-06-10
435,Bruno,Vara,63,Mujer,España,66171,2024-09-04
436,Dulce,Antón,47,Mujer,España,64003,2021-03-26
437,Borja,Bartolomé,55,Hombre,España,43149,2024-12-08
438,Imelda,Nebot,55,Mujer,España,60394,2023-04-17
439,Rosalva,Ros,62,Mujer,España,44396,2021-02-13
440,Joel,Carbonell,68,Mujer,España,53324,2022-09-24
441,Sancho,González,71,Hombre,España,77198,2022-02-05
442,Dimas,Carrillo,25,Hombre,España,47169,2023-10-24
443,Tania,Goicoechea,44,Hombre,España,76632,2021-09-10
444,Clotilde,Torrecilla,44,Hombre,España,78274,2025-10-24
445,Jose Manuel,Jordá,51,Hombre,España,74277,2022-12-15
446,Cristina,Nieto,38,Mujer,España,56243,2023-10-31
